,perfume_id,name,rate,madeby,brand,regi_date,char,category,gender,type,scent,price,perfume_url,img_url,reviews
1,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"스위티구르망 구매했는데 받고나서 딱 뿌리자마자 발향력이
장난아니네요 한번만 뿌려도 확산력이 어마어마해요!
그리고 향짜 향기 너무좋은거 아닌가요.. 향 자체가 고급진 부드러운
달달한느낌에상큼함을 2티스푼 넣어준 그런 향기랄까..
옆방에 있던 부모님도 갑자기 어디서 좋은향기난다고 무슨향이
이렇게 좋아~??하면서 막 물어보셨어요! 달함이라
잠뿌로도 뿌리기 아주좋구요 시간은 아침에 3-4번 뿌려주면 저녁까지
오래가요 ㅎㅎ 제가 생각했을때 계절감은 딱 지금이 제일 좋은거같고
봄,가을,겨울 너무 더울때만 아니면 어떤 옷차림에나 분위기 신경쓸
것 !! 발향, 확산, 지속력면은
단언컨대 역대급이네요 에르게니아 넘 좋아여..."
2,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"저는 향수를 좋아하지만 깊이있게 알지는 못하고 느낌위주로 고르는 편이에요.
향수의 기본 향은 가장 처음에 나는 탑노트와 그다음 미들노트, 그리고 베이스노트로 이루어져 있어서
시간이 지나면서 향이 조금씩 달라지는 걸 느낄 수가 있는데요.
에르게니아 스위티 구르망 퍼퓸은 처음에 굉장히 달달한 향이 나고요.
그 다음으로는 전체적으로 달달한 향이 남아있으면서 포근한 향이 감싸는 느낌이에요.
그리고 그 달달하면서 포근한 향이 마지막까지 은은하게 오래 남아있더라고요.


포근함과 어우러져서 그런지 지금같은 겨울에 너무나 잘 어울리는 향수라고 생각이 들어요.
자기전에 가끔 향수를 일부러 뿌리고 자는데, 스위티 구르망 퍼퓸 향을 맡으며 포근하고 .
귀여우면서도 .~"
3,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"리뷰를 정말 꼼꼼히 읽어보고 향노트를 보며 고민을 많이 하였는데
정말 잘 맞더라구요
스위티구르망은 봄에 어울리는 향이라고 돼있는데 겨울에도 어울릴법한? 그런 포근하고 약간 무거운 그런 따뜻한 계절에 어울릴 냄새이더라구요
많이 맡아본 익숙한 냄새 같으면서도 되게 깊은게
색다로웠어요
처음 뿌렸을때의 향보다 어느정도 시간 지난뒤에 나는 잔향이 더 좋더라구요
그래서 외출하기 30분전쯤 뿌리니까 낫더라구요
머리카락 부분에도 살짝 톡톡 치듯 발라줬더니
흩날릴때마다 향내음이 내 코를 간질간질 하는게 .. 타이밍이 좋았던건지 딱 받자마자 뿌리고 외출했는데 고새 20분도 안돼서 번호 따인거있죸ㅋ
그래서 이번엔 부케 도 주문하려고 합니다👍👍"
4,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,향은 개인의 취향이기에 호불호가 가립니다. 개인적으로 저에게는 이 향이 단내음이 심합니다. 정말 제목 그대로 스.위.티!! 시간이 지날수록 옅어지긴하지만 꼭 달달한 도너츠향 비슷합니다. 처음뿌렸을 때는 단향이 강해서 약간 느끼한 느낌(?)이 들었고 차라리 시간지나고 잔향이 낫습니다. 달달한 향 좋아하시는 분은 괜찮겠지만 아니라면 추천드리지않습니다. 만다린과 복숭아향을 기대했는데 저에겟 코코넛 향만 느껴집니다. 향수는 꼭 시향하고 사야한다는 교훈을 얻었습니다.
5,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"엔틱한 고급스러운 패키지부터,
넉넉한 용량까지 모두 마음에 들어요.
봄을 연상케하는 오묘한 향이 매력적인데요.
부드러운 달콤함이 느껴져서 하루 종일 기분좋더라구요.
향수를 스위티 구르망으로 바꾸고,
향수 뭐 쓰는냐는 질문을 많이 받았네요.
향기나는 사람이 되었어요^^
러블리한 향때문에 소녀가 된 느낌이예요.
~.
취향저격 향을 담은 에르게니아 완전
^^"
6,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"첫 향을 맡았을때 바로! 든 기분은 남자향수인가? 였는데, 2~3분 지나니 여자향수 맞군. 하는 생각으로 바뀜. 왜 남자들이 좋아하는 여자향수라고 광고를 하는지 알겠음. 여자들이 싫어하지 않고 남자들이 좋아할 만한 남자향수 같은 느낌?! 중성적인 느낌. 사람마다 강하게 느끼는 향기의 레이어가 다르겠지만 내가 느낀 향기의 느낌적인 레이어는 남자향수 같다는 느낌이 51%. 김치찌게 먹은날 받아서 머리에 찌게냄새 나서 손바닥에 뿌리자마자 머리채 중간에 움켜 잡아 놓았더니 기분 좋아짐. 저렴한 향수 치고는 저렴하지 않은 무게감이 있는 향수임."
7,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"프랑스,이태리산 최상 등급 원료
유명 조향사가 블렌딩한 니치향수로 일반 향수와 다르게 오래 지속되는 향기로움
말그대로 달콤한 어느날처럼 만다린,코코넛,피치 등 봄날 예쁜 살구빛 느낌의 사랑스러운 여성이 생각나는 스위티 구루밍이예요
여자친구, 여성분에게 기념일이나 생일 요즘같은 연말선물하기도 좋은 달달함입니다 :)"
8,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,바닐라 향이 난다는 리뷰를 보고 구매하였으나 제가 생각한 향과 많이 달라 당황했습니다 저는 좀더 묵직하고 겨울에 어울리는 진하고 달달한 향을 원했으나 구매해보니 플로럴 향이 강한 달콤한 향이더라구요 찾던 향이 아니라 아쉽긴 합니다... 이 제품말고 클래시센트도 써보니 여름에 쓰기에 괜찮겠더라구요 은은한 향입니다 지인에게 향기 좋다고 얘기들었어요 잘쓸게요
9,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,봄이라 기분전환하려고 향수샀는데요. 제가 기대한것 이상으로 만족스럽네요. 향은 은은하면서 달콤하고 상쾌한 향기에요. 아침에 뿌리면 하루종일 향이 은은하게 느껴지는데 과하지 않아 좋네요. 캐주얼. 정장 등 어떤 스타일에도 자연스럽게 어울리는거 같아요. 꼼꼼한 포장에 빨리 배송되었고요. 패키지가 너무 예뻐 버리지않고 상자에 넣은채 사용중이라는 ㅎㅎ 용량도 넉넉해 오래 쓸 것 같아 가성비 좋아요.
10,1,에르게니아 스위티 구르망 우먼 오드퍼퓸,4.6,한국씨앤비,에르게니아,2020.05.,"향, 지속력",퍼퓸,여성용,스프레이,"플로럴, 플로럴알데히드, 플로럴아쿠아틱, 플로럴머스크, 그린, 시트러스, 시트러스머스크, 시트러스아쿠아틱우디, 아로마틱, 아로마틱푸제아프레쉬, 아로마틱아쿠아, 아쿠아틱시트러스, 아로마틱스파이시우디, 아로마틱푸제아우디, 아로마틱스파이시레더, 아로마틱우디, 아로마틱토닉, 아로마틱우디프루티, 오리엔탈, 오리엔탈앰버플로럴, 푸제르오리엔탈, 세미오리엔탈, 오리엔탈푸제아, 화이트우디오리엔탈, 오리엔탈우디, 우디, 우디머스크, 우디스파이시, 우디시트러스, 우디아로마틱, 우디프레쉬아로마, 우디마린, 우디오리엔탈, 우디시트러스아쿠아틱, 우디레더, 스파이시, 스파이시우디, 머스크, 머스크시트러스, 아쿠아틱, 아쿠아틱우디, 프루티, 프루티프레쉬, 후제르그린프루티, 프루티플로럴우디, 후제르앰버리프루티, 프레쉬프루티, 프레쉬우디푸제아, 프레쉬아로마틱, 프레쉬오리엔탈우디, 화이트우디프레쉬, 시프레, 구르몽, 바닐라","39,000",https://search.shopping.naver.com/catalog/22856706427?query=%ED%96%A5%EC%88%98&NaPm=ct%3Dl014fqmg%7Cci%3Df5adfecf6e5b34afd1437f752498a9c00ad0a067%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D8cda3b77b7919a53e0aff1501471187521b25383,https://shopping-phinf.pstatic.net/main_2285670/22856706427.20200514120600.jpg?type=f640,"음 현재 사용한지 한달?향베이스가 너무강해 손이많이가진않아요, 대표전화로 다른향수추천과함께,핑크박스에든 향수를 추가 배송해주셨는데요, 첫향은 달콤꽃향이나요,집에뿌린후 외출하고들어왔을때 단향이 꽤 남아있습니다, 첫번째(오렌지색박스),두번째(핑크박스)에든 향수는,둘다 비슷한 계열이 들어간건지 우드향이 나긴합니다..아마 ..존바바토스 써보신분들은 아실듯,아무튼 리뷰보시고 대표님이 끝까지 신경써주시더라구요^^ㅎㅎ;시원한 플로럴향,비누+시트러스계열이 필요하시면 다른향수도 추천해주셨어요,
무튼 번창하세요.(알바아님×)냉무."
